Qual a sua área?,Você está empregado na área de tecnologia?,O que está buscando atualmente como emprego?,Está aberto a oportunidades de?,Modalidade de contratação:,Faixa de salário desejada?,Onde  procura emprego?,Já participou de entrevistas?,Recebe retorno das entrevistas?,Qual a sua maior dificuldade de procurar emprego?,Como faz para se preparar para entrevistas?,"Já fez algum mentoria de carreira , seja ela de empregabilidade, parte do bootcamp, individual, com algum coach?",Qual a sua formação?,Onde conseguiu o contato do seu emprego atual?,Media de entrevistas até conseguir a vaga?,De quem foi a iniciativa de abordagem?,Forma de contratação?,Como foi o processo de entrevista?,Você teve onboarding na empresa?,Você tem um PDI para seguir na empresa?,Faixa salarial?,"Aceita disponibilizar meus dados de forma anônima para a pesquisa ""Estado do Junior Tech de 2023"", não vamos disponibilizar nenhum dado de forma individual, apenas compilados de informações para comunidade."
UX ( e suas variações),Não,Transição de carreira (para profissão tech que escolheu),"Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre 2000,00 e 3000,00","Linkedin, Site de vagas de emprego/estagio",Sim,Não,Falta de oportunidade para 1º entrevista.,Estudo a empresa,Sim,"Faculdade, Cursos livres avulsos (estilo Udemy)",Sem emprego,,,,,,,,sim
Desenvolvimento Backend,Sim,,,,,,,,,,,"Faculdade, Autodidata, Cursos livres avulsos (estilo Udemy)",Networking / Amigos,entre 30 e 60,Busquei ativamente um a vaga,CLT,Tranquilo,Sim,Sim,"mais de 4000,00",sim
Desenvolvimento Backend,Não,,,,,"Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio",Sim,"Sim, com feedback automatico",visibilidade pois depois de muitas aplicações sem retorno  faz parecer que somos invisíveis. ,Normalmente estudo um pouquinho a empresa depois reviso os requisitos das vagas e tento simular uma entrevista dentro desse requisitos. ,Não,,,,,,,,,,sim
UX ( e suas variações),Não,Primeiro Emprego,"Trainee, Junior (Associado, Assistente)","CLT, PJ","entre R$ 1000,00 e R$ 2000,00","Linkedin, Site de vagas de emprego/estagio",Não,"Sim, com feedback automatico",Falta de informações sobre a empresa e descrição da vaga vago,"Pesquiso sobre a empresa, comentários de funcionários e ex, e o salário do cargo ",Não,,,,,,,,,,sim
UX ( e suas variações),Não,Transição de carreira (para profissão tech que escolheu),"Trainee, Junior (Associado, Assistente)","CLT, PJ","a partir de 3000,00","Linkedin, Grupos Zap/Telegram / Discord, Amigos / Networking",Sim,"Sim, com feedback automatico",Ver se minhas habilidades técnicas e comportamentais se adequam realmente a vaga. E se as vagas não estão pedindo demais para um nível de senioridade junior.,"Procuro saber sobre a empresa pelo site ou redes sociais, se tiver o nome do recrutador eu procuro olhar o perfil em rede social (Linkedin).",Não,,,,,,,,,,sim
Desenvolvimento Desktop / Embarcado,Não,Primeiro Emprego,"Estagio, Trainee, Junior (Associado, Assistente)","CLT, Autonomo / Freelancer","Abaixo de R$ 1000,00","Linkedin, Site de vagas de emprego/estagio, Instagram / Facebook",Não,Não,"Encontrar vagas compatíveis, e ser aceito.",Ainda não tive oportunidade de fazer entrevistas.,Não,"Cursos livres avulsos (estilo Udemy), Técnico em desenvolvimento de Sistemas ",Não tenho emprego atualmente.,menos de 5,Busquei ativamente um a vaga,Não fui contratado ,Não fiz Intervista.,Não,Não,"Abaixo dos 1000,00",sim
Desenvolvimento Desktop / Embarcado,Não,Primeiro Emprego,"Estagio, Trainee","CLT, PJ, Autonomo / Freelancer","entre R$ 1000,00 e R$ 2000,00","Linkedin, Instagram / Facebook",Não,,são requisitos ,,Sim,,,,,,,,,,sim
QA - Qualidade de Software,Não,Transição de carreira (para profissão tech que escolheu),"Estagio, Trainee, Junior (Associado, Assistente)","CLT, Autonomo / Freelancer","entre R$ 1000,00 e R$ 2000,00","Linkedin, Google / Pesquisa, Site de vagas de emprego/estagio",Não,Não,A maioria das empresas procuram pessoas com experiência na área.,"Me preparo observando primeiramente as skills que o empregador solicita na vaga, para que eu possamos ter uma conversa relevante.",Não,,,,,,,,,,sim
QA - Qualidade de Software,Não,Primeiro Emprego,"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","Abaixo de R$ 1000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio, Instagram / Facebook",Sim,"Sim, com feedback automatico",,,Não,,,,,,,,,,sim
Desenvolvimento Backend,Sim,,,,,,,,,,,Faculdade,"Linkedin, Networking / Amigos",menos de 5,Fui abordado e fiz o processo seletivo,CLT,Tranquilo,Sim,Sim,"mais de 4000,00",sim
